cbsa,CBSATitle,year,prescription_rate,employment_to_population,african_amer_percent,native_amer_percent,asian_percent,other_percent,hispanic_percent,female_percent,high_school_percent,opioid_age,northeast,midwest,south,west,treat,post
10860,"Alice, TX",2013,65.34010363861664,45.128433,.50334764,.6117239,.52261448,5.6596503,79.129135,50.096333,.60102123,24.073986,0,0,1,0,1,1
10860,"Alice, TX",2014,65.96637994454191,45.697353,.84522051,.38833976,.36040187,7.2637849,81.267296,49.892094,.62850606,23.874743,0,0,1,0,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,58.04284472805684,49.45443,3.706172,.10277345,2.1738193,6.7386642,9.7095461,51.243847,.50879806,26.926826,1,0,0,0,1,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2007,58.04700598579951,49.352448,3.8414235,.10973147,2.246954,6.9753227,10.698422,51.272945,.5063979,26.618078,1,0,0,0,1,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2008,62.68443473988084,49.032021,4.1722374,.13547798,2.2833345,6.9660478,11.465858,51.226131,.49810949,26.466682,1,0,0,0,1,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2009,63.09465699168113,47.274555,4.2990241,.18175997,2.3679814,6.4638748,12.209693,51.139969,.49182132,25.566217,1,0,0,0,1,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,65.55778631331646,46.301979,4.5937133,.17553441,2.4420249,6.7046366,12.129606,51.221348,.48851594,25.361023,1,0,0,0,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2011,57.17563259912961,46.789024,5.0250793,.18758342,2.5264163,6.1570802,13.884624,51.281017,.48172358,24.606184,1,0,0,0,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2012,61.01670834624473,47.518902,5.1114373,.21452282,2.6052496,6.3762851,14.451604,51.25515,.47750783,24.3491,1,0,0,0,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2013,58.39620251631585,47.865543,5.3204103,.22217466,2.6605003,6.9545493,14.106147,51.154785,.47434756,24.173487,1,0,0,0,1,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2014,57.63963378275618,48.297424,5.3013859,.24927197,2.6833897,7.0242481,14.132034,51.200642,.46882245,24.221371,1,0,0,0,1,1
10940,"Alma, MI",2006,68.40000000000001,43.353645,1.6377141,.66411537,.52766109,5.7064896,4.4824362,48.867577,.57028061,27.360428,0,1,0,0,1,0
10940,"Alma, MI",2007,68.40000000000001,42.268353,2.5802317,.60767186,.33706799,5.1011205,4.6880937,48.279053,.57332063,26.977306,0,1,0,0,1,0
10940,"Alma, MI",2008,82.7,41.031937,2.1177416,.53475934,.40461883,5.5652833,4.6424685,48.331837,.55087882,27.019545,0,1,0,0,1,0
10940,"Alma, MI",2009,78.40000000000001,39.776062,3.0787446,.78863233,.53522795,4.1231499,4.8336291,48.705742,.55364144,26.602724,0,1,0,0,1,0
10940,"Alma, MI",2010,86.7,40.386066,3.9262638,.55993783,.35231054,3.8302839,5.0557485,47.829895,.54647815,26.162716,0,1,0,0,1,1
